src,tgr
我的房子沒有頂。,My house doesn't have a roof.
去年冬天很暖和。,We had a mild winter last year.
这是什么气味？,What's this smell?
有時我們很難控制自己的情緒。,It's sometimes difficult to control our feelings.
他完成了他的使命。,He accomplished his mission.
有一阵从北边吹来的冷风。,There was a cold wind blowing from the north.
我知道他们要做什么。,I know what they're going to do.
汤姆知道玛丽什么时候来。,Tom knew when Mary would be arriving.
她有一整籃的蘋果。,She had a basket full of apples.
湯姆告訴我我不該去做。,Tom told me I shouldn't do that.
你们去哪里?,Where are you going?
我通常七點吃早餐。,I usually have breakfast at seven.
今天我的筆記本掉了。,I lost my notebook today.
汤姆说他需要午睡。,Tom says he needs a nap.
马上！我就来！,Coming! I'll be there in a minute!
我喜歡在樹林裡散步。,I like taking walks in the woods.
太阳一出来，雪就会融化。,The snow will melt when the sun comes out.
哪本是你的书？,Which book is yours?
在考试的时候，汤姆作弊抄了玛丽的答案。,"During the exam, Tom cheated off Mary."
我有的書是你的三倍。,I have three times as many books as you do.
别为玛丽犯的错责备汤姆。,Don't blame Tom for what Mary did.
我很高兴见到他。,I was happy to see him.
我会梦到你的。,I'll dream about you.
電視上沒有什麼好事。,There's nothing good on television.
不知道明天天气会怎么样呢？,I wonder what the weather will be like tomorrow.
波士顿是一座非常好的城市。,Boston is a wonderful city.
我想試穿這件衣服。,I'd like to try on this dress.
英語並不難學。,English is not difficult to learn.
我剛才吃了壽司喝了啤酒。,I just ate sushi and drank beer.
他想在醫院工作。,He wants to work in a hospital.
但願她昨晚來就好了。,I wish she had come last night.
那真令人鼓舞。,That's encouraging.
我拒绝被像一个孩子般对待。,I refuse to be treated like a child.
你能感受到不同之處嗎？,Can you feel the difference?
你何時會回學校?,When will you come back to school?
我没想到这里有这么多人。,I had no idea there'd be this many people here.
绝对将要下雨。,It'll rain for sure.
据说这房子是个鬼屋。,It is said the house is haunted.
别走进泥地。,Don't step in the mud.
我无法阻止它。,I cannot stop it.
海啸来了，密切注意啊。,"A tsunami is coming, so please be on the alert."
您很容易就能看出区别。,You'll be able to see the difference very easily.
汤姆不是一个好选手。,Tom isn't a great player.
她的成功让她成为嫉妒心的靶子。,Her success made her the target of jealousy.
他们说天气会很热。,They say it will be very hot.
我還有个問題。,I still have a question.
她沉迷于摇滚乐。,She is absorbed in rock music.
沒有空氣生活是不可能的。,To live without air is impossible.
湯姆感覺不太好。,Tom isn't feeling very well.
对不起，我迟到了。,I'm sorry about being late.
他赚的比我多三倍。,He earns three times more than me.
我可以用旅行支票支付嗎？,May I pay with a travelers' check?
这只是我们之间的秘密。,This is just between you and me.
那是汤姆的选择。,That was Tom's choice.
感谢你做的所有事。,Thanks for everything.
我把剩下的东西给我的狗吃。,I fed the leftovers to my dog.
他又喝了一碗湯。,He had a second helping of soup.
我怎么去警察局？,How can I get to the police station?
汤姆从出租车上下来了。,Tom got out of the taxi.
我家有四個人。,There are four people in my family.
不允許在火車上吸煙。,Smoking is not permitted on the train.
孩子们非常喜欢在海滩上玩耍。,Children really like playing on the beach.
他整個上午都在看書。,He read a book all morning.
他们就快从香港抵达了。,They are arriving here soon from Hong Kong.
我想跟你度過一整天。,I want to spend the whole day with you.
哪顶帽子是你的？,Which hat is yours?
我是一名大学生。,I'm a student in a university.
我没什么可隐藏。,I had nothing to hide.
Tom被抓到無照駕駛。,Tom was caught driving without a license.
那不關你的事。,That's none of your business.
很棒！,Fantastic!
汤姆明白生存的代价。,Tom understands what it takes to survive.
别那么着急。,Don't worry so much.
他跳上了桌子。,He jumped onto the table.
他是這所大學的學生。,He's a student at this college.
汤姆想要孩子，但玛丽不想。,"Tom wants children, but Mary doesn't."
她把書還給了圖書館。,She returned the book to the library.
不要侵犯她的隐私。,Don't intrude on her privacy.
有許多瀕危物种。,There are many endangered species.
别辞掉你的正职。,Don't quit your day job.
自助餐厅在哪里？,Where's the cafeteria?
你结束了吗？,Are you finished?
你为什么醒着？,Why are you awake?
最近的教堂在哪里？,Where's the nearest church?
你不能成为献血者。,You can't be a blood donor.
我想要出席派对。,I'd like to attend the party.
她能說流利的英語和法語。,She is fluent in English and French.
我必须不惜一切代价帮助她。,I must help her at any cost.
吃過午飯後，她準備好要出門了。,"After she had lunch, she got ready to go out."
我没有朋友一起玩。,I have no friends to play with.
我只做別人付錢讓我做的事。,I only do what I'm paid to do.
汤姆刚退休。,Tom has just retired.
Tom寫明信片給我們。,Tom wrote postcards to us.
Tom的手機響了。,Tom's cellphone rang.
多少錢？,What is the price?
一年有十二個月。,One year has twelve months.
湯姆當時非常害怕。,Tom was very scared.
他够大了，可以独自旅行了。,He is old enough to travel alone.
我都没想过会在这里碰见你。,I didn't expect to see you at a place like this.
我和他同年。,I'm as old as he is.
她似乎喜歡上了我哥哥。,She seems to be in love with my brother.
湯姆不知道他還能再信任誰。,Tom doesn't know who he can trust anymore.
我的兒子和他的秘書訂婚了。,My son is engaged to his secretary.
不要冒险。,Don't run risks.
湯姆想知道我們在這裡做甚麼。,Tom wants to know what we're doing here.
這地區很安靜。,The area was quiet.
湯姆哭了很長時間。,Tom cried for a long time.
汤姆是个不寻常的人。,Tom is an extraordinary man.
她奇怪地看了我一眼。,She gave me a strange look.
三的立方是二十七。,Three cubed is twenty-seven.
在建筑物里的所有人都感觉到了地震。,Everybody in the building felt the earthquake.
他很有钱，但不幸福。,"He's rich, but he's not happy."
她特别想去。,She really wants to go.
他对结果不满意。,He is unsatisfied with the result.
請讓我看看您的登機證好嗎?,"May I see your boarding pass, please?"
我需要帮助。,I need help.
我可以吃這個柳橙嗎？,May I eat this orange?
他在意外中失明了。,He lost his eyesight in the accident.
你要我们做什么？,What did you want us to do?
人无法长生不死。,People can't live forever.
骄傲是失败的先行者。,Pride cometh before a fall.
我们到达志贺高原时会下雪。,It will be snowing when we arrive at Shiga Heights.
突然開始下雨。,It suddenly started raining.
您能幫我嗎？,Could you help me?
我每兩天洗一次澡。,I take a bath every other day.
他長大後成為了一名醫生。,He grew up to be a doctor.
你為甚麼認為湯姆不喜歡它？,Why do you think Tom doesn't like it?
湯姆在戰鬥中死了。,Tom died in combat.
我摘下了假发。,I took off my wig.
在笑什么呢？,What're you laughing at?
那家工廠生產玩具。,That factory makes toys.
汤姆要求有人解释。,Tom demanded an explanation.
让我试试。,Let me try it.
我抓到一隻漂亮的蝴蝶。,I caught a beautiful butterfly.
明天我給你打電話。,I'll give you a call tomorrow.
你看了昨天的月蝕了嗎？,Did you see the eclipse yesterday?
他一點也不懂英語。,He doesn't know English at all.
这么说也可以。,You could say that.
我们的市场占有率为20%。,We have a 20% share of the market.
他沒有回答我的問題。,He didn't respond to my question.
今天是我请客。,Today is my treat.
你有可能不得不那么做。,There's a possibility that you'll have to do that.
你就是做那事的人嗎？,Are you the one who did that?
真讓人不舒服。,It's very uncomfortable.
这顶红帽子很衬她的裙子。,The red hat goes well with her dress.
汤姆取消了他的酒店订单。,Tom canceled his hotel reservation.
富士山有多高？,How high is Mt. Fuji?
你昨天晚上做什麼?,What did you do last night?
我整个下午都在花园里。,I was in the garden all afternoon.
沒有辦法知道。,There's no way to know.
我們做得到嗎？,Can we make it?
他怕那只狗。,He's afraid of the dog.
我认为我快疯了。,I think I'm going crazy.
英语是当今世界上一种非常重要的语言。,English is a very important language in today's world.
去拿你的护照。,Go get your passport.
我习惯晚睡。,I'm used to staying up late.
湯姆的自行車昨天被偷了。,Tom's bicycle was stolen yesterday.
她為我做了這個娃娃。,She made the doll for me.
我没书可读。,I have no books to read.
在這裡寫下你的地址。,Write your address here.
你相信鬼存在吗？,Do you believe there are ghosts?
他是美国人。,He is American.
哪里有电话机？,Is there a telephone anywhere?
戒掉赌博吧。,Stop gambling.
他們在聽收音機。,They were listening to the radio.
这是一个除颤器。,This is a defibrillator.
我们能去别的地方谈谈吗？,Could we go somewhere and talk?
我不想吃壽司。,I don't feel like eating sushi.
音乐会上有很多人。,There were many people at the concert.
我不說日語。,I don't speak Japanese.
汤姆绝不会愿意独自去那里。,Tom will never willingly go there by himself.
這些畫很美。,These paintings are beautiful.
寒冷的天氣持續了三個禮拜。,The cold weather continued for three weeks.
你几岁交了第一个女朋友？,At what age did you have your first girlfriend?
每个人都知道汤姆的法语很好。,Everyone knew that Tom could speak French well.
這封信需要用英文寫嗎？,Does the letter need to be written in English?
我父亲经营外贸多年。,My father has been engaged in foreign trade for many years.
经过银行，左边就是他的办公室了。,His office is past the bank on your left.
他跟您年纪差不多。,He is about your age.
湯姆看來真喜歡待在波士頓。,Tom seems to really enjoy being in Boston.
我在花园种了番茄和洋葱。,I grow tomatoes and onions in my garden.
汤姆说他考虑辞职。,Tom said he's considered quitting his job.
他求她跟他结婚求了七次。,He asked her seven times to marry him.
他看起來很強壯。,He looks strong.
湯姆修好了他的自行車。,Tom fixed his bicycle.
她擅長打網球。,She is good at playing tennis.
NTT這個縮寫是什麼意思？,What do the initials NTT stand for?
汤姆咬紧牙关。,Tom clenched his teeth.
我認為那不是真的。,I think that's not true.
棕色不是汤姆天生的发色。,Brown is not Tom's natural hair color.
你的父母很愛你。,Your parents loved you very much.
我肩膀痛。,My shoulder hurts.
湯姆不會停。,Tom isn't going to stop.
关门。,Shut the door.
我想在這條河裡游泳。,I'd like to swim in this river.
会议明天就结束了。,The conference will end tomorrow.
我想念Mary 的廚藝。,I miss Mary's cooking.
汤姆失败了。,Tom failed.
我在聚会上见了史密斯。,I met a Smith at the party.
你到底在談什麼?,What on earth are you talking about?
他的房间一片狼藉。,His room's a mess.
他試著想讓他妻子開心，但是沒有成功。,"He endeavored to make his wife happy, but in vain."
我會研究你的報告。,I'll study your report.
我每隔一天去購物。,I go shopping every other day.
我喜歡器樂。,I like instrumental music.
太阳在西边下山。,The sun sets in the west.
請把門打開。,"Open the door, please."
我正在读报纸。,I'm reading the newspaper.
我们想买张沙发。,We would like to buy a sofa.
金窝银窝不如自己的狗窝。,"Be it ever so humble, there's no place like home."
你法语说得好吗？,Can you speak French well?
他們正玩得非常開心。。,They are having a really good time.
我们有一位非常好的厨师。,We have a very good chef.
我知道汤姆在做什么。,I knew what Tom was doing.
多么有趣啊！,How interesting!
汽车发生故障了。,The car broke down.
帮助你是我的责任。,It's my duty to help you.
看来我是这里唯一有能力做这件事的人。,It seems as if I'm the only person here capable of doing it.
我付了十美元買這頂帽子。,I paid ten dollars for this cap.
水是液体。,Water is a liquid.
奥运会已经开幕了。,The opening ceremony of the Olympics has already begun.
有一只风筝在树上。,There is a kite flying above the tree.
美国的自然资源很丰富。,The United States is abundant in natural resources.
我继续唱歌。,I continued singing.
汤姆对玛丽笑了笑，她也笑着回应了。,"Tom smiled at Mary, and she smiled back."
汤姆告诉我他不喜欢碳酸饮料。,Tom told me that he doesn't like carbonated drinks.
萬一發生火災，按鈴。,"In case of fire, ring the bell."
我会尽可能多给你写信的。,I will write letters to you as often as I can.
我們昨晚去看電影了。,We went to the movies last night.
我需要找個地方練舞。,I need to find somewhere to practice dancing.
他们俩都在房间里。,Both of them are in the room.
那家公司去年亏损了10亿日元。,The company suffered a loss of one billion yen last year.
等雨停了，我们去散步吧。,"When it stops raining, let's go for a walk."
他说的话根本毫无意义。,What he says makes no sense at all.
樹葉在十月開始掉落下來。,Leaves begin to fall in October.
汤姆看玛丽画一幅画。,Tom watched Mary draw a picture.
你傷心嗎？,Are you sad?
我护照给偷了。,My passport was stolen.
她友善地為我指路。,She kindly showed me the way.
汤姆，你已经吃过午餐了吗？,"Tom, have you already eaten lunch?"
这不是我所擅长的事。,It isn't something I'm very good at.
你可以慢慢来。,You can take your time.
星期一你必須繳交報告。,You have to turn in the reports on Monday.
洗衣機是一個很棒的發明。,The washing machine is a wonderful invention.
没盐了。,There's no more salt.
这是一家好医院。,This is a good hospital.
你是高中生嗎?,Are you a high school student?
我想要你的照片。,I would like your picture.
他游泳游得比我好。,He swims better than I do.
汤姆的头怎么了？,What happened to Tom's head?
聚会上我和他谈得很愉快。,I enjoyed talking with him at the party.
她给孩子们做了曲奇。,She made cookies for the children.
汤姆在吃饭吗？,Is Tom eating?
那就是汤姆想要的。,That's what Tom wanted.
我办完事会立刻联络你。,I'll call you as soon as I've finished.
猴子爬上了树。,The monkey climbed up a tree.
汤姆60岁以后不想工作。,Tom doesn't want to work after he's sixty.
汤姆想知道玛丽在哪里学会了法语。,Tom wondered where Mary had learned French.
这个男孩子在吃面包。,The boy is eating bread.
他的第二個兒子結婚並定居下來了。,His second son married and settled down.
有些食物令人口渴。,Some foods make you thirsty.
音樂會即將開始。,The concert is about to start.
他把信读了一遍又一遍。,He read the letter over and over.
来看看世界地图。,Have a look at the world map.
我一年前戒了烟。,I quit smoking a year ago.
我忽然想起了我死去的妈妈。,I suddenly thought of my dead mother.
選你最喜歡的顏色。,Choose the color you like the best.
你應該多注意他的警告。,You should pay more attention to his warnings.
我现在正在学习。,I am studying now.
在加拿大的人說法語和英語。,Both French and English are spoken in Canada.
她向我抱怨他的粗鲁无礼。,She complained to me of his rudeness.
我感觉轻松了。,I feel relieved.
你有看见过汤姆生气的时候吗？,Have you ever seen Tom when he's angry?
汤姆喝咖啡吗？,Does Tom drink coffee?
把眼鏡戴上!,Put your glasses on.
今天三號。,Today is the 3rd.
天空很晴朗。,The skies are clear.
請發一下牌。,Please deal the cards.
我們罷工是因為公司沒有改善我們的工資。,We're on strike because the company hasn't improved our wages.
汤姆忘了做作业。,Tom forgot to do his homework.
這個系統有些明顯的缺陷。,This system has obvious defects.
我们睡在我舅舅家。,We're spending the night at my uncle's house.
你擋住了我的路。,You are in my way.
帮我买点零食吧。,Buy me a snack.
我知道这对您来说很重要。,I know that this is important to you.
汤姆承认他杀死了玛丽。,Tom admitted that he'd killed Mary.
他說的話不是真的。,What he said is not true.
他的村屋在海岸上。,His cottage is on the coast.
在非洲有许多孩子死于饥饿。,Many children die of starvation in Africa.
出租车到了。,The taxi's here.
他就住在附近。,He lives just around the corner.
您曾經食物中毒過嗎？,Have you ever gotten food poisoning?
沒有人看過神。,Nobody has seen God.
Tom失去平衡並跌到了。,Tom lost his balance and fell.
别用铅笔签合同。,Don't sign the contract in pencil.
要是她昨晚來就好了。,I wish she had come last night.
世界語只有16個語法規則。,In Esperanto there are only 16 grammar rules.
我能休息一会儿吗？,Can I rest a bit?
這家公司由一個外國人經營。,That company is managed by a foreigner.
鮮花盛開。,Flowers bloom.
Tom没有花费精力去打扮自己。,Tom doesn't pay much attention to how he dresses.
讓我們坐公共汽車去。,Let's go by bus.
汤姆要甩了玛丽吗？,Is Tom going to dump Mary?
請讓我為你拍照。,Please let me take your picture.
公司破产了。,The company went bankrupt.
请看一看。,Have a look.
上課中不要跟別人講話。,Don't talk to others during the class.
我還年輕。,I'm young.
法律面前人人平等。,Everyone is equal before the law.
他們一整年都必須工作。,They had to work all year round.
把書放在最上面的架子上。,Put the book on the top shelf.
印度是发展中国家。,India is a developing country.
你今晚會待在家裡嗎？,Will you stay at home tonight?
你不想做编辑？,You don't want to be an editor?
有三票反对这主意。,Three voted against the idea.
你為什麼去京都?,What did you go to Kyoto for?
湖冻冰了。,The lake was frozen.
誰將照顧這個嬰兒？,Who will take care of the baby?
你認為湯姆滿意了嗎？,Do you think Tom was satisfied?
電話正在響。,The phone rang.
我買了一雙鞋子。,I bought a pair of shoes.
讓我們快點做完吧。,Let's finish up in a hurry.
外面一片漆黑。,It's totally dark outside.
我需要你的意见。,I need your advice.
我很喜歡在新的高速公路上開車。,I enjoyed driving on the new highway.
我累得再也走不動了。,I'm too tired to walk any further.
我們提出了請求支持的呼籲。,We made an appeal for support.
他们正向森林而去。,They are making for the forest.
既往不咎。,Let bygones be bygones.
那个男人最终供认了他的罪行。,The man finally confessed.
這是我女兒。,This is my daughter.
你被不公平地對待。,You're being treated unfairly.
这很可能意味着战争。,"In all likelihood, this means war."
去年冬天下了好多雪。,There was a lot of snow last winter.
請稍等一會兒。,Please wait a little while longer.
请保持联系。,Please keep in touch.
沒有必要回那封信。,You don't need to answer that letter.
你應該照顧你生病的母親。,You should take care of your sick mother.
您在暗示什么？,What are you driving at?
他明天能来吗？,Will he be able to come tomorrow?
我跟父母联络了一下。,I contacted my parents.
我不想要生日聚會。,I don't want a birthday party.
学校因大雪停课一天。,School was closed for the day due to the snow.
他会在四点左右到达这里。,He'll be here around four o'clock.
你知道这是谁的吗？,Do you know who this belongs to?
昨天發生了一場車禍。,There was a car accident yesterday.
你讀完這本書了嗎？,Have you finished reading the book?
如果明天天气好，那么我们就去野餐。,We'll go on a picnic if it's fine tomorrow.
給我一個蘋果。,Give me an apple.
我丈夫一年收入10萬美元。,"My husband earns $100,000 a year."
她是个数学天才。,She was a genius in mathematics.
恐怕不行。,I'm afraid not.
在我們學校裡女孩比男孩多。,There are more girls than boys at our school.
我做噩梦了。,I had a nightmare.
汤姆在表达自己的意见的时候总是很慌张。,Tom never felt comfortable expressing his own opinion.
如果她和你结婚了，她现在会很幸福。,"If she had married you, she would be happy now."
請給我看看這件綠色的襯衫。,Please show me the green shirt.
我知道湯姆累。,I know Tom is tired.
公园里有一大群人。,There was a large crowd in the park.
让我出乎意料的是，他居然很会唱歌。,"To my surprise, he was good at singing."
我得了什麼病？,What disease do I have?
我見過。,I've seen it.
這是城裡最糟糕的旅館。,This is the worst hotel in town.
她现在住在哪儿？,Where does she live now?
你觉得汤姆喜欢什么颜色？,What color do you think Tom likes?
我们能做点大事。,We could do something big.
这篇英语作文离完美还差得远。,This English essay is far from perfect.
他缺乏經驗。,He is lacking in experience.
他的脸上满是泥。,His face was covered with mud.
我不怕死。,I'm not afraid of death.
昨天我去了迪士尼樂園。,I went to Disneyland yesterday.
为什么你做饭那么拿手呢？,Why are you so good at cooking?
我奇怪為甚麼湯姆那麼激動。,I wonder why Tom is so excited.
我儿子在刷牙。,My son is brushing his teeth.
这是什么意思？,What does this stand for?
这是很严重的病。,It's a very serious illness.
湯姆很仔細，不是麼？,"Tom is careful, isn't he?"
我觉得汤姆不太可能会当选。,I think it's unlikely Tom will get elected.
我很小的时候就游得很好了。,I could swim well even when I was a child.
我十二岁了。,I'm twelve.
那药不会管用。,That medicine isn't going to help.
对不起，我没有听到你说话。,"Sorry, I didn't hear you."
為了什麼目的？,For what purpose?
你把這些電影全看了嗎？,Have you seen all these movies?
一棵倒下的树挡住了通道。,A fallen tree blocked the path.
她的生活很寂寞。,She lived a lonely life.
萬一下雨，我就不去。,"In case it rains, I won't go."
他可能發生了什麼事情。,Something may have happened to him.
去问汤姆。,Ask Tom.
对你来说还不太晚。,It isn't too late for you.
你为什么对我这么小气？,Why are you so mean to me?
你覺得Tom的廚藝如何？,What do you think of Tom's cooking?
她肯定超过80岁了。,She must be over eighty.
感谢澄清。,Thanks for the clarification.
我知道谁喜欢汤姆。,I know who likes Tom.
任务完成。,Mission accomplished.
你開的那輛車很不錯。,That's a nice car you're driving.
她隱約地有一種的內疚感。,She had a vague feeling of guilt.
老人時常自言自語。,Old people often talk to themselves.
汤姆还没跟玛丽谈那事。,Tom hasn't yet talked to Mary about that.
別碰它。,Don't touch it.
我不相信汤姆的说法。,I don't believe Tom's version of the story.
孩子應該服從他們的父母。,Children should obey their parents.
除了英文，他還說德文。,"In addition to English, he speaks German."
我不喜歡你和我說話的口氣。,I don't like the way you talk to me.
汤姆变胖了。,Tom got fat.
好吧，我們走吧。,"Well, let's go."
厕所塞住了。,The toilet is backed up.
我們必須做點甚麼。,We must do something.
我们明天回来。,We'll come back tomorrow.
你打算自己一人把它全部吃了吗？,Are you going to eat all of that yourself?
我無法忍受這個痛苦。,I can't bear the pain.
我父亲会游泳但我母亲不会。,"My father can swim, but my mother can't."
汤姆在去购物的时候，几乎每次都会用信用卡。,Tom almost always uses a credit card when he goes shopping.
我發現這本漫畫書非常有趣。,I found the comic book very interesting.
他們讓我們工作了一整天。,They made us work all day long.
把灯打开。我什么都看不见了。,Switch on the light. I can't see anything.
你读完那本小说了吗？,Have you finished reading that novel?
这是湖的最深处。,The lake is deepest at this point.
这本小说的作者是谁？,Who's the author of this story?
我爸爸有点守旧。,My father is a bit old-fashioned.
他幾乎每天打電話給我。,He called me up almost every day.
請​​借我你的書。,"Lend me your book, please."
她總是邊聽音樂邊唸書。,She always studies while listening to music.
我們接受所有主要的信用卡。,We accept all major credit cards.
我曾是世界上最幸福的男人。,I was the happiest man on earth.
你的新車是甚麼顏色的？,What color is your new car?
獲得諾貝爾獎後，她仍謙虛如昔。,"After winning the Nobel prize, she remained as modest as ever."
你是那個建議我們一起旅行的人。,You're the one who suggested that we travel together.
我不喜欢。,I don't like it.
我認為我們不應該允許湯姆去做。,I think we shouldn't allow Tom to do that.
我单身。,I am not married.
我们今晚出去吃怎么样？,How about dining out tonight?
汤姆不介意偶尔给予玛丽帮助。,Tom doesn't mind helping Mary occasionally.
我國是溫帶氣候。,Our country's climate is temperate.
他不擅长开车。,He is not a good driver.
他们不是在打架，而是在排练戏剧。,"They aren't quarreling, but are rehearsing a play."
我只想向自己证明我可以做到。,I just wanted to prove to myself that I could do this.
湯姆在名單上。,Tom was on the list.
小心地滑。,Be careful. It's slippery here.
我们必须执行他的命令。,We must execute his orders.
他開始喊叫。,He began to shout.
他们在谈音乐。,They are talking about music.
上帝創造了天地。,God created the heaven and the earth.
请吃点菜。,Please eat something.
他只有100美元。,He only had 100 dollars.
我們每個週末都一起出去。,We go out together every weekend.
他一直暗恋着她。,He has been secretly in love with her.
你是怎麼去上學的？,How do you go to school?
出来，我需要帮助。,Come out here. I need help.
你太过分了。,You are going too far.
他們設法控制你。,They're trying to control you.
汤姆对玛丽说，不要浪费时间去说服约翰来帮忙。,Tom told Mary not to waste her time trying to convince John to help.
你不能把你的东西搬去另一个房间吗？,Can't you move your stuff to the other room?
這支筆多少錢?,What does this pen cost?
我看见他穿过了马路。,I saw him cross the road.
真理必胜。,Truth will always prevail.
港口內有許多船。,There are many ships in the harbor.
我們老師開車來學校。,Our teacher comes to school by car.
這是湯姆的雨傘。,This is Tom's umbrella.
你学英语吗？,Do you study English?
汤太烫了。,The soup is too hot.
不要走在草地上。,Stay off the grass.
汤姆是一家小餐馆的经理。,Tom is the manager of a small restaurant.
我們每天用很多的水。,We use a lot of water every day.
我把她的字典还给了她。,I gave her her dictionary back.
这支钢笔要多少钱？,How much is this pen?
我們用少的預算旅行。,We are traveling on a tight budget.
我在找关于古罗马历史的书。,I'm looking for books on Roman history.
男孩赤裸着上身。,The boy was naked to the waist.
我不想問他。,I have no intention of asking him.
這顆鈕扣脫落了。,The button came off.
你在监狱里呆了多久？,How long were you in jail?
我该去吗?,Should I go?
你有醫療保險嗎？,Do you have medical insurance?
我不是在跟你說話，我在跟猴子說話。,I'm not talking to you. I'm talking to the monkey.
我將拿這把傘。,I'll take this umbrella.
一鳥在手勝過二鳥在林。,A bird in the hand is worth two in the bush.
有什么事是我该做的吗？,Is there anything I must do?
男人应该工作。,A man must work.
河從橋下流過。,The river flows under the bridge.
她在我到達之前去世了。,She had died before I arrived.
我玉米過敏。,I'm allergic to corn.
你何時要戒煙?,When are you going to quit smoking?
你仍然很年輕。,You're still young.
我知道你在做什么。,I know what you're doing.
你有多少本書？,How many books do you have?
已婚的人有時候希望他們是單身，。,Married people sometimes wish they were single.
你要注意不要太自信。,You should be careful not to become overconfident.
汤姆在哪儿？,Where is Tom?
我不是有意要保密的。,I didn't mean to keep it secret.
你可以给我一个提示吗？,Would you give me a hint?
带我回家。,Take me home.
你計劃賣甚麼？,What do you plan to sell?
车在车库里。,The car is in the garage.
我可以試穿這件外套嗎？,Can I try on this jacket?
汤姆叫了警察。,Tom called the police.
我们会用银行转帐付款。,We will make the payment by bank transfer.
我真的不懂这个问题。,I truly do not understand the question.
我知道你会找到汤姆。,I knew you'd find Tom.
如果他是清白的，那他妻子就有罪。,"If he is innocent, it follows that his wife is guilty."
你們得走了。,You have to leave.
我們應該更小心的。,We should have been more careful.
我买了两张音乐会的票。,I bought two tickets for a concert.
汤姆拿起铅笔。,Tom picked up a pencil.
我受够吃快餐了。,I'm sick of eating fast food.
有后门。,There's a back entrance.
这个问题对我来讲很难回答。,It is difficult for me to answer the question.
我需要做手术吗？,Do I need surgery?
他畫了一幅狗的畫。,He painted a picture of a dog.
汤姆坐在了树干上。,Tom sat on a tree trunk.
我的嗜好是看漫畫書。,My hobby is reading comics.
我問了他叫什麼名字。,I asked him what his name was.
汤姆没能说服玛丽。,Tom failed to persuade Mary.
我肯定他会成功的。,I am sure that he will succeed.
什麼原因讓你這麼早來這裡？,What made you come here so early?
是誰允許你做這事的？,Who gave you the right to do such a thing?
会议什么时候开始？,How soon will the meeting begin?
事情是怎麼變糟的？,How could things get worse?
日本在某些领域赶上了美国。,Japan has caught up with America in some fields.
走廊裡有一部電話。,There's a telephone in the hall.
我昨晚学习了。,I studied last night.
这家伙像个狐狸。,This guy looks like a fox.
我的祖父相信登月是一個騙局。,My grandpa believes that the moon landing was a hoax.
這個藥會幫助你。,This medicine will help you.
他正睡着，像个婴儿一样。,He's sleeping like a baby.
這本書很有趣。,This book was very interesting.
湯姆威脅過你嗎？,Did Tom ever threaten you?
不要告訴任何人這件事。,Don't share this with anyone.
做那事是我的责任。,It was my duty to do that.
你父母親在家嗎？,Were your mother and father home?
我們要等等看會發生甚麼。,We'll wait and see what happens.
她的母語是法語。,She is a native speaker of French.
我父親喜歡濃咖啡。,My father likes strong coffee.
他的手臂很有力。,He has powerful arms.
很少有東西像音樂一樣帶給我們這麼多的快樂。,Few things give us as much pleasure as music.
请给我盐。,"Pass me the salt, please."
我看见他穿过了马路。,I saw him cross the street.
他休息了一会儿。,He rested for a while.
要花多久時間？,How long does it take?
昨天晚上你在哪裡？,Where were you yesterday evening?
請把門鎖上。,Please lock the door.
後天是湯姆的生日。,The day after tomorrow is Tom's birthday.
她每兩天探訪我們。,She visits us every other day.
他工作很努力。,He worked very hard.
嫉妒是謀殺的動機。,Jealousy was the motive for the murder.
他是我弟弟的一個朋友。,He's a friend of my brother's.
他很穷。,He is poor.
我一点咖啡也不喝。,I don't drink coffee at all.
我們不在波士頓。,We're not in Boston.
他非常吝啬。,He is very stingy with his money.
"快點, 否則你會趕不上火車。","Hurry up, or you'll miss the train."
他认为这像个鸟笼。,He thought that it was like a bird cage.
汤姆出生于2013年波士顿。,Tom was born in Boston in 2013.
汤姆说他们需要更多时间。,Tom says they need more time.
这份设计很蠢。,This is a stupid design.
现在售票。,Tickets are on sale now.
有人最近来过这里。,Someone's been here recently.
是誰的錯呢？,Whose fault is that?
你们去看啥了？,What did you guys go see?
他酷爱钓鱼。,He loves fishing.
眼泪顺着她的脸颊流下来。,Tears were flowing down her cheeks.
你能閱讀嗎？,Can you read?
你應該到我們的派對的。,You ought to have come to our party.
我不能離開湯姆。,I couldn't leave Tom.
她罵她的兒子懶惰。,She scolded her son for being lazy.
你今天看上去很苍白。,You look pale today.
湯姆拍了手。,Tom clapped his hands.
这个球是那个男孩的宝贝。,The ball is that boy's prized possession.
在京都，有很多的景点值得一看。,There are many sights to see in Kyoto.
你是个女人。,You're a woman.
我觉得汤姆需要减肥了。,I think Tom should go on a diet.
少一把叉子。,There is a fork missing.
湯姆沒有告訴我她的名字。,Tom didn't tell me her name.
它很大。,It's very big.
小猫想进来。,The kitten wants to come in.
他不是歌手，但是个演员。,"He is not a singer, but an actor."
我们三个都是学生。,All three of us are students.
他昨天來我的辦公室。,He came to my office yesterday.
你們好嗎？,How's it going?
Tom很喜欢一边听歌一边做作业。,Tom likes to listen to music while he's doing his homework.
他强调了教育的重要性。,He placed emphasis on the importance of education.
我要在哪裡換火車？,Where do I have to change trains?
她抱怨我的工資低。,She complained about my low salary.
汤姆是聪明的孩子。,Tom is a clever kid.
我們不知道下一步要做什麼。,We didn't know what to do next.
