src,trg
能够出一份力太好了。,I'm glad I could help you.
汤姆没有父亲。,Tom doesn't have a dad.
我在机场见了个朋友。,I met a friend at the airport.
我們到達了山頂。,We reached the top of the mountain.
你不要點咖啡嗎？,Won't you have some coffee?
我今天下午會很忙。,I will be busy this afternoon.
这很可能意味着战争。,"In all likelihood, this means war."
选喜欢的。,Choose the one you like.
他打扮得像女人一樣。,He disguised himself as a woman.
因為暴風雨的關係，所以我們必須待在家裡。,"Because of the storm, we had no choice but to stay at home."
请您原谅。,Please forgive me.
你什么时候开始学英语的？,When did you begin to learn English?
他们的友情深深地感动了我们。,Their friendship moved us deeply.
你的皮膚真好。,You have nice skin.
他们要求马上把国王处死。,They demanded the king be put to death at once.
我想要这部电话。,I want this phone.
我想聽你彈鋼琴。,I'd like to hear you play the piano.
我有三张票。,I've got three tickets.
我可以问你个问题吗？,May I ask you a question?
谁也不知道他是否爱她。,No one knows if he loves her or not.
你是我最好的朋友之一。,You're one of my best friends.
她幫我打包我的手提箱。,She helped me pack my suitcase.
考得如何？,How did you do on your exam?
她不喜歡他。,She disliked him.
他说他累了，所以他想早点回家。,"He said he was tired, so he would go home early."
生活費升高了。,The cost of living has risen.
她在夜晚望著月亮。,"At night, she gazed at the moon."
這是我身上所有的錢。,This is all the money I have on me.
我恐高。,I'm afraid of heights.
她好像已經知道這個秘密了。,She seems to have known the secret.
这个老房子闹鬼。,This old house is haunted.
你最喜歡的兒童歌曲是哪首？,What's your favorite nursery rhyme?
Tom和Mary有個女兒和兒子。,Tom and Mary have a daughter and a son.
你在進步。,You're making progress.
他們甚至不知道為什麼。,They don't even know why.
湯姆沒有告訴我她的名字。,Tom didn't tell me her name.
由你來決定。,It is up to you.
你要注意不要太自信。,You should be careful not to become overconfident.
我接受了报价。,I accept the offer.
你打算做什么？,What are you up to?
你喜欢雪吗？,Do you like snow?
最近的教堂在哪里？,Where is the nearest church?
他很快就會到這裡嗎?,Will he be here soon?
我只是隨便看看。,I'm just looking.
汤姆帮玛丽移动家具。,Tom helped Mary move the furniture.
她在节食。,She is on a diet.
有时候，我们应该后退一步想一想。,"Once in a while, we should take a step back and think."
他替我叫了一部計程車。,He called me a taxi.
汤姆不傻。,Tom isn't foolish.
他穿上了黑色的外套。,He put on the black coat.
谁朝我的狗扔的石子？,Who threw a stone at my dog?
她愛湯姆。,She loves Tom.
我立刻打電話給她。,I telephoned her at once.
我不想誤導任何人。,I didn't want to mislead anyone.
我单身。,I'm single.
我喜歡紅色的玫瑰。,I like red roses.
再试也无济于事了。,There's no point in trying again.
我最近一直睡眠不足。,I haven't been getting enough sleep lately.
这不是盐。,This isn't salt.
我看見他在讀一本書。,I saw him reading a book.
她想去散步。,She felt like taking a walk.
這個不行。,This is not okay.
我不能怪湯姆不等著。,I can't blame Tom for not waiting.
我玩得很開心。,I had a lot of fun.
汤姆点头以示鼓励。,Tom nodded encouragingly.
完成你的工作。,Finish your work.
這裡是溫暖的。,It's warm in here.
没有爱的人生没有意义。,Life without love is meaningless.
妈妈正在准备早餐。,My mother is preparing breakfast.
上個星期這架飛機墜毀了。,The plane crash was only last week.
你想跟我说什么？,What is it you want to tell me?
我阿姨有三個孩子。,My aunt has three children.
他給了她一個忠告。,He gave her a piece of advice.
他给了我一个很棒的圣诞礼物。,He gave me a nice Christmas present.
沒看到任何一顆星星。,Not a star was to be seen.
你空闲时间喜欢做什么？,What do you like to do in your free time?
從機場到旅館多遠？,How far is it from the airport to the hotel?
汤姆做了同样的事。,Tom did the same thing.
請好好照顧你自己。,Please take good care of yourself.
我們很快修好了。,We fixed that pretty quickly.
我真是个不走运的家伙。,I'm such an unlucky guy.
你的新商店什么时候开张？,When will your new store open?
我想去看電影。,I'd like to go to the movies.
我該早點回家。,I should've gone home earlier.
这里我们以前来过。,We've been here before.
把灯打开。我什么都看不见了。,Switch on the light. I can't see anything.
她把她所有的娃娃送給了別人。,She gave away all her dolls.
到了那兒之後跟我說一聲兒。,Drop me a line as soon as you get there.
我們應該盡量避免把我們自己的信念強加在別人身上。,We should try to avoid imposing our own beliefs on others.
多怪啊！,How weird!
我姑姑給了我一本集郵冊。,My aunt gave me an album.
請盡情地跳舞。,Please enjoy yourself at the dance.
我把她當成是我自己的女兒一樣對待。,I treated her as my own daughter.
他够大了，可以独自旅行了。,He is old enough to travel alone.
我昨天没回家。,I didn't go home yesterday.
现在我几乎不看电视。,I almost never watch TV nowadays.
这汤里盐放多了。,There's too much salt in this soup.
这儿是他们通常吃晚饭的地方。,Here's where they usually have dinner.
不要说话了。,Stop talking.
湯姆是瑪麗的前夫。,Tom is Mary's former husband.
我在打棒球。,I'm playing baseball.
就是这样的。,That's how it is.
我猜明天会是好天气。,My guess is that it will be fine tomorrow.
他承認他有罪。,He confessed his guilt.
我今天下午可以去游泳嗎？,Can I go swimming this afternoon?
你必须做晚饭吗？,Do you have to make dinner?
你什么时候学会游泳的？,When did you learn to swim?
你為什麼辭職？,Why did you quit?
它沒有那麼簡單。,It's not that simple.
他没有接电话，所以我给他发了封邮件。,"He did not answer the phone, so I sent him an email."
汤姆看起来的确比玛丽年轻。,Tom definitely looks younger than Mary.
這是什麼啊？,What's this?
我没有拜访他，因为我感冒了。,"Since I had a cold, I didn't go visit him."
我們剛剛吃完了早飯。,We've just finished breakfast.
你不該大聲說話。,You must not speak loudly.
聰明人會從自己的錯誤中受益。,A wise man profits from his mistakes.
我们保证我们不会再做了。,We promise you we'll never do it again.
我很好奇。,I'm curious.
我沒有夥伴。,I don't have a partner.
聽起來像是我戀愛了嗎？,Do I sound like I'm in love?
她可能比你高。,She might be taller than you.
今天下午天氣會很好。,It will be fine this afternoon.
这看起来似曾相识。,It seems so familiar.
这些蛋糕中我最喜欢这个。,"Out of these cakes, I like this one the best."
我们谁也没看见。,We have seen no one.
我不知道他們為什麼在打架。,I don't know why they are fighting.
那時嬰兒正在哭嗎？,Was the baby crying then?
你可以去了。,You may go.
你认为她多大？,How old do you think she is?
汤姆是在自家厨房里死的。,Tom died in his kitchen.
我還沒吃完早飯。,I have not finished breakfast yet.
那女孩不管到哪兒都跟著母親。,The girl was always following her mother.
告訴我你的故事。 我會注意聽。,Tell me your story. I am all ears.
他工作很努力。,He worked very hard.
他們嘲笑我的想法。,They laughed at my idea.
我打算買輛車。,My plan is to buy a car.
小偷跑了。,The thief ran away.
走路小心。,Watch your step.
他问我喜不喜欢数学。,He asked me whether I like math.
看著我的眼睛。,Look into my eyes.
你昨天晚上過得好嗎？,Did you have a good time last night?
她精通法語。,She is proficient in French.
你擋住我的光了。,You're blocking my light.
我聽說你彈鋼琴。,I hear that you play the piano.
我没时间阅读。,I don't have time to read.
我担心我的体重。,I'm worried about my weight.
她親自過問了此事。,She gave it her personal attention.
我什么都不怕。,I'm not afraid of anything.
可惜这是真的。,"Unfortunately, it's true."
他至少有一千本書。,He has at least one thousand books.
在面包房工作的姑娘很可爱。,The girl who works at the bakery is cute.
那个没你想象的那么难。,It's not as difficult as you think.
您回答了什么？,What did you answer?
你有一封信。,There's a letter for you.
偶尔我会讨厌我自己。,Sometimes I hate myself.
您会使用计算机吗？,Do you know how to use a computer?
我承认，我不是世界上最整洁的人。,I admit I'm not the tidiest person in the world.
我以为汤姆会赢。,I thought that Tom would win.
我喜欢圣诞蛋糕上有草莓。,I love strawberries on Christmas cake.
我沒去派對。,I was absent from the party.
這家旅館是去年蓋的。,This hotel was built last year.
他对吗？,Is he right?
汤姆今天做了什么？,What did Tom do today?
我不能忍受那種政治家。,I can't stand that kind of politician.
利率还是低。,Interest rates are still low.
他用一個＂不＂回答了我的問題。,"He answered my question with a ""no."""
他問了我兩個問題。,He asked me two questions.
重新告訴我。,Tell me again.
我們不能在這裡待很長時間。,We can't stay in here very long.
我們希望你喜歡這個表演。,We hope you will enjoy the show.
我晚点打给你。,I will telephone you later on.
我知道他的样子，但不知道他的名字。,"I know him by sight, but not by name."
我知道你是對的。,I know that you're right.
我的房间号是多少？,What's my room number?
我會告訴湯姆你說了那話。,I'll tell Tom you said that.
你在昨晚的聚會上盡興了嗎？,Did you enjoy yourself at the party last night?
我恨我的电脑。,I hate my computer.
我没力气继续尝试了。,I don't have the strength to keep trying.
要是有东西坏了呢？,What if something gets broken?
我拒绝被你像奴隶一样对待。,I refuse to be treated like a slave by you.
是一幅漂亮的畫。,It's a beautiful painting.
人不知道未來可能發生什麼事。,We can't know what the future has in store.
你為什麼哭？,Why are you crying?
他問候了你。,He asked after you.
我睡不好。,I can't sleep well.
她打了一通電話給我。,I had a telephone call from her.
對不起，我們不接受信用卡。,"Sorry, we don't accept credit cards."
你應該早點來的。,You ought to have come here earlier.
我不太確定湯姆錯了。,I'm not so sure Tom is wrong.
我不喜歡大狗。,I don't like big dogs.
你什麼時候要出去？,When will you go out?
我祖母是個園藝巧手。,My grandmother has a green thumb.
我为昨天发生的事道歉。,I apologize for yesterday.
西蘭花是最健康的蔬菜之一。,Broccoli is one of the healthiest vegetables.
"錢要花很長的時間來賺, 但你可以一下子就花掉它了。","Money takes a long time to earn, but you can spend it in no time."
你赞成还是反对这个计划？,Are you for or against the plan?
地面高低不平，給部隊前進帶來了困難。,The rugged terrain made the troops' advance difficult.
我觉得汤姆爱上玛丽了。,I think that Tom has a crush on Mary.
汤姆拿我开心。,Tom made fun of me.
我强力推荐它。,I recommend it strongly.
我要看看我能做甚麼。,I'm going to see what I can do.
你了解汤姆多少？,How well do you know Tom?
她是女教师。,She is a teacher.
我准备好出发了。,I'm ready to leave.
他每天晚上打電話給她。,He calls her up every night.
这些产品质量同等。,These products are of the same quality.
他坐在瑪麗和湯姆之間。,He was sitting between Mary and Tom.
牛奶论品脱卖。,Milk is sold by the pint.
我該上大學嗎？,Should I go to college?
到談話的時間了。,It's time to talk.
他生气了。,He got angry.
我听说你在试图帮助汤姆的时候受伤了。,I heard you were injured trying to help Tom.
我願意參加這場會議。,I'm willing to attend the meeting.
这不是任何人都能做的事。,It's not something that anyone can do.
他收起了他的玩具。,He gathered his toys together.
他把一個包裹挾在腋下。,He held a package under his arm.
它怎麼能是湯姆的錯？,How could it be Tom's fault?
這是湯姆的雨傘。,This is Tom's umbrella.
一个真正的绅士不会出卖他的朋友。,A true gentleman never betrays his friends.
汤姆没有什么可隐藏。,Tom's got nothing to hide.
要是他有參加這場會議就好了。,I wish he had attended the meeting.
我在一周前的今天拜訪了他。,I visited him a week ago today.
今天我們可以清楚地看到富士山。,We can see Mt. Fuji clearly today.
湯姆和我生在同一個城市。,Tom and I were born in the same city.
汤姆决定不再等了。,Tom decided not to wait.
她全身都疼。,She was aching all over.
她不让我们知道真相。,She's hiding the truth from us.
我儿子现在和我一样高了。,My son is now as tall as I am.
您不特別。,You're not special.
我无法回答所有问题。,I couldn't answer all the questions.
男孩依旧沉默不语。,The boy remained silent.
我的车出了点事。,Something has happened to my car.
我不在乎發生什麼事。,I don't care what happens.
我的母親鋼琴彈得很好。,My mother plays the piano well.
这里没有啤酒。,There's no beer here.
我已婚。,I'm already married.
我是你的妹妹。,I'm your sister.
那為甚麼不好？,Why isn't that good?
滚出我的房子。,Get out of my house.
你有什么问题？,What's your problem?
她拿了其中一个玻璃花瓶。,She picked up one of the glass vases.
我想试试这件。请问哪里是试衣间？,I'd like to try this on. Where are the fitting rooms?
你們這裡有禮品店嗎？,Do you have a gift shop here?
我在一個樂團裡演奏。,I play in a band.
你已经给汤姆打过电话了？,Have you already called Tom?
如果不是太贵的话，我会买的。,"If it's not too expensive, I'll do that."
看起来全都太奇怪了。,It all seems so strange.
我不知道这个词的意思。,I don't know the meaning of this word.
汤姆没怎么睡。,Tom didn't get much sleep.
他昨天去世了。,He died yesterday.
我承认这可能不是最好的方法。,I admit this may not be the best way of doing it.
這條路因為下雨所以是濕的。,The road was wet from the rain.
我买了单。,I paid the bill.
你没必要马上去做。,You don't need to do that right away.
汤姆是个专业的魔术师。,Tom is a professional magician.
我丢了我的伞。,I have lost my umbrella.
我們得到了一個很好的價格買那個東西。,We got a good price for that.
我对这些都没有印象。,I can't remember any of it.
所有苹果树都被砍倒了。,All the apple trees were cut down.
Tom明天將漆柵欄。,Tom will paint the fence tomorrow.
昨天發生了一場車禍。,There was a car accident yesterday.
你應該來跟我說。,You should've come and talked to me.
事故发生在前天。,The accident happened the day before yesterday.
他的包就在这儿，所以他不可能已经去了学校。,"His bag is right here, so he cannot have gone to school yet."
昨天下小雨。,There was a light rain yesterday.
我明年要去夏威夷。,I am going to Hawaii next year.
星期一是Tom的三十歲生日。,Monday is Tom's thirtieth birthday.
真奇怪。,How weird!
湯姆可以比我做得好很多。,Tom can do so much better than me.
哪本書是你們的？,Which is your book?
油价上涨的可能性很高。,There is a good chance that gasoline prices will go up.
没有电视，我无法生活。,I can't live without TV.
它屬於我兄弟。,It belongs to my brother.
你肚子饿吗？,Do you feel hungry?
我會見到你。,I'll be seeing you.
這些花生長在溫暖的國家。,These flowers grow in warm countries.
我在我的咖啡裡放了一些奶油。,I put some cream in my coffee.
湖上的冰太薄了，承受不了你的重量。,The ice on the lake is too thin to bear your weight.
我保證明天就做,I promise I'll do that tomorrow.
我们在这里下车吧。,Let's get off here.
誰碰了我的槍？,Who touched my gun?
你按了按鈕嗎?,Did you push the button?
他們拒絕了。,They refused.
他告誡他們不要吵鬧。,He admonished them for being noisy.
湯姆說法語說得不太好。,Tom isn't very good at speaking French.
我听说你通过了入学考试。恭喜你了！,I hear you passed the entrance exam. Congratulations!
她把她的孩子抱在懷裡。,She held her baby in her arms.
她早上打網球。,She plays tennis in the morning.
它本質上是一個時間的問題。,It is essentially a question of time.
就在那时，公交车停住了。,"Just then, the bus stopped."
你找錯了零錢給我。,You gave me the wrong change.
我的爷爷喜欢大清早的散步。,My grandfather is fond of taking a walk early in the morning.
辣点儿没关系。,I don't mind if it's hot and spicy.
我运气很好。,I'm lucky.
他是刀子嘴。,He has a sharp tongue.
她的母親去年去世了。,Her mother passed away last year.
我想做个派。,I want to make a pie.
你今天不是应该在学校的吗？,Aren't you supposed to be at school today?
我八點鐘吃了早餐。,I ate breakfast at eight.
电脑可以做极为复杂的工作。,Computers are capable of doing extremely complicated work.
我全写下来了。,I wrote it all down.
他殺死了那個人。,He killed that man.
你们疯了吧,You guys looked mad.
他们会再尝试的。,They'll try again.
即使是现在，我偶尔还是想见到你。不是今天的你，而是我记忆中曾经的你。,"Even now, I occasionally think I'd like to see you. Not the you that you are today, but the you I remember from the past."
跟你沒有關係。,It has nothing to do with you.
他不再住在這裡了。,He doesn't live there anymore.
别烦我！,Leave me alone!
我想要你。,I want you.
她活了很久。,She lived for a long time.
明天我得购物。,Tomorrow I have to go shopping.
真是個好学校。,It's a really good school.
你能幫我搬這張桌子嗎？,Will you help me move this desk?
不要讓任何人進入這個房間。,Don't let anyone enter the room.
你的时间快用完了。,Your time is running out.
他同意我的意見。,He agrees with my opinion.
真的有用。,It really works.
我有一些錢。,I have some money.
我花了一個半小時的時間解決這個問題。,It took me half an hour to work out this problem.
靠近一點聽，你就會聽到了。,If you listen closely enough you'll be able to hear it.
什麼是不必要的?,What's not necessary?
我们的老师非常有幽默感。,Our teacher has a wonderful sense of humor.
他们的想法太过时了。,Their way of thinking is behind the times.
我知道我在做什么。,I know what I'm doing.
我几乎不能工作了。,I was barely able to work.
你脸红了。,You are blushing.
逐字地翻譯這個段落。,Translate the passage word for word.
电话簿在哪里？,Where's the telephone book?
你將無法趕上火車。,You will not be able to catch the train.
我很好。你呢？,I'm fine. How about you?
那辆汽车真的很贵。,That car is really expensive.
我收集郵票。,I collect stamps.
他要了水喝。,He asked for a drink of water.
跑到山里躲起来。,Run and hide in the mountains.
我失去了控制。,I'm losing my grip.
火警警报响了。,The fire alarm rang.
我们偶然乘上了同一辆列车。,We happened to be on the same train.
替我向你的孩子們問好。,Give my love to your kids.
我觉得我不太喜欢这游戏。,I don't think I like this game very much.
为什么你买了旅行保险？,Why did you buy travel insurance?
没人体会我的感受。,Nobody knows how I feel.
我從昨天起沒有吃任何東西。,I haven't eaten anything since yesterday.
我被蜜蜂蛰了一下。,I got a bee sting.
Tom喝了些果汁。,Tom drank some juice.
沒有生气的理由。,There's no reason to get angry.
你头发上粘着什么东西。,There's something in your hair.
总共是3000日元。,"The total comes to 3,000 yen."
别来烦我。,Don't bug me.
这几年对作业疗法的需求在迅速增长。,Demand for occupational therapy has surged in recent years.
我会给你些提示。,I'll give you a little tip.
我想要獨立完成工作。,I'd like to finish the work on my own.
湯姆說他想吃中國菜。,Tom said that he wanted to eat Chinese food.
你很快就會習慣這種冷天氣。,You'll soon get accustomed to this cold weather.
你經常服用任何藥物嗎？,Are you taking any medicine regularly?
你說你叫什麼名字？,What did you say your name was?
他比我高两寸。,He is two inches taller than I am.
你染過頭髮嗎？,Have you ever dyed your hair?
我的兄弟買了電子吉他。,My brother bought an electric guitar.
除了雨天，我都是骑车去上班的。,"Apart from on rainy days, I always ride my bike to work."
他今天晚上可能來看我們。,He may come and see us tonight.
我使用火狐。,I use Firefox.
他的死对我们公司是一个巨大的损失。,His death was a great loss to our firm.
我知道金钱不是万能的。,I know that money isn't everything.
你為甚麼認為湯姆不喜歡它？,Why do you think Tom doesn't like it?
這輛車不值得修理。,This car isn't worth repairing.
汤姆(Tom)决定出家为僧。,Tom has decided to become a monk.
我想你坐到我的座位了。,I think you're sitting in my seat.
我们需要称职的领导人。,We need competent leaders.
汤姆以七折销售T恤。,Tom sells T-shirts at a 30 percent discount.
现在有票。,Tickets are available now.
你们永远不会一个人的。,You'll never be alone.
谁来了这里？,Who was here?
为什么大家突然对我这么好？,Why is everyone being so nice to me all of a sudden?
这种面包很美味。,This bread is very delicious.
你要做的只是照顾好你自己。,All you have to do is to take care of yourself.
你在偷听。,You were eavesdropping.
我们坐着谈很久以前的事。,We sat talking about the remote past.
有些東西在變化。,Something is changing.
算你狠。,You got me.
你想聽嗎？,Would you like to listen?
她買了六碼的布做衣服。,She bought six yards of cloth for a dress.
你在哪里读书？,Where do you study?
手举起来。,Put your hands up.
你看起来很吃惊。,You look surprised.
我喜歡喝天然的礦泉水。,I like to drink natural mineral water.
我打算去那裡。,I plan on going there.
我会尽量不打扰你复习。,I'll do my best not to disturb your studying.
汤姆说，您什么都能修好。,Tom says you can fix anything.
這個手提箱是誰的?,Who does this suitcase belong to?
我們一直聊天直到天明。,We talked and talked until the day broke.
這把椅子很醜。,This chair is ugly.
我今天沒有更多的事要做的了。,I have nothing more to do today.
他賣掉了他的事業並且退休。,He sold his business and retired.
這場交通意外讓他失明了。,The traffic accident deprived him of his sight.
她总和她父母吵架。,She was always quarreling with her parents.
你和谁说话呢？,Who did you talk with?
汤姆对我来说很重要。,Tom is very important to me.
他清了清喉嚨。,He cleared his throat.
他们逼我出来。,They forced me out.
笔在桌上。,The pen is on the desk.
你想喝點什麼嗎？,Would you like to drink anything?
他帮我打到一辆出租车。,He found me a taxi.
幸运的是他有足够的钱来付账。,Luckily he had enough money to pay the bill.
他的所作所为总是让我惊讶。,His behavior never ceases to surprise me.
給我這本書。,Give me the book.
你觉得汤姆是不是太嫩了？,Do you think Tom is too young?
他们试图冲破敌军防线。,They attempted to break through the enemy line.
我保证我会做的。,I promise that I'll do it.
你還在家裡嗎？,Are you still at home?
他过去认识她，但他们现在不再是朋友了。,"He once knew her, but they are no longer friends."
她精通法语。,She is proficient in French.
玛丽说她爱我，但是我并不相信她所说的话。,"Mary said that she loved me, but I didn't believe her."
那本書很有趣。,That book was interesting.
你横穿马路时要留心。,You must be careful of the traffic when you cross the street.
我们的友谊受到了考验。,Our friendship was put to the test.
今天我也会努力的。,"I'll try my best today, too."
几乎没有人认为我们是姐妹。,Hardly anyone thinks that we are sisters.
他有很多钱。,He has lots of money.
我们要尽力而为。,We have to do our best.
請小心駕駛。,Please drive carefully.
我們的顧客比我們可以計數的更多。,We have more customers than we can count.
我想吃点好吃的。,I want to eat something delicious.
我无法找到问题的根源。,I can't locate the source of the problem.
别闹事。,Don't make trouble.
我们已经将它做了分析。,We've had it analyzed.
您真是太好了。,That's very sweet of you.
你会吹口哨吗？,Can you whistle?
你想要什么？,What're you after?
明天有足球比賽。,The soccer game is tomorrow.
谁组织了这次会议？,Who organized that meeting?
当心！,Look out!
他並不完全信任我。,He doesn't altogether trust me.
他竭尽全力地讨好他老婆。,He bent over backward to please his wife.
政府应该加大对农业的投资。,The government should invest more money in agriculture.
日本有很多温泉。,There are a lot of hot springs in Japan.
你做什么都无所谓。,It doesn't matter what you do.
我們提供了難民們毛毯。,We furnished the refugees with blankets.
你买彩票了吗？,Have you bought a raffle ticket yet?
你有學生證嗎？,Do you have your student ID card?
暴風過後是寧靜。,After a storm comes a calm.
火车大概会在中午前到站。,The train will probably arrive at the station before noon.
这辆公交车能载你去机场。,This bus will take you to the airport.
汤姆在吹嘘。,Tom is exaggerating.
没人能逃避死亡。,Nobody can avoid death.
Basho是最偉大的詩人。,Basho was the greatest poet.
我姑姑做了一條新裙子給我。,My aunt made me a new skirt.
他的声音很悦耳。,He has a pleasant voice.
我跟你说过她在的时候不要说这件事。,I told you not to mention that in her presence.
再一次。,Once again.
他否認打破了窗口。,He denies having broken the window.
你睡觉的时候，一个女人来看过我们。,A woman visited us while you were sleeping.
他们知道如何制造原子弹。,They know how to make an atomic bomb.
人生是有趣的。,Life is fun.
我不清楚湯姆是甚麼意思。,I'm not really sure what Tom meant.
医学的最新进展颇为显著。,The recent advances in medicine are remarkable.
我想知道確切的時間。,I'd like to know the exact time.
为什么不？,Why not?
夏天过去了。,The summer is over.
请问，你在做什么？,"Excuse me, what are you doing?"
我是个高中生。,I'm a high school student.
她將去千葉球場。,She is going to Chiba Stadium.
汤姆什么都没告诉你吗？,Hasn't Tom told you anything?
他居住在國外多年。,He lived abroad for many years.
昨天，我收到一封用英语写的信。,I received a letter written in English yesterday.
我父亲在花园边上装了篱笆。,My father put a fence around the garden.
這把傘多少錢?,How much is this umbrella?
我认为汤姆一点教学经验都没有。,I don't think that Tom has any teaching experience.
我不想听解释。,I don't want any excuses.
你该戒烟戒酒了。,You should give up smoking and drinking.
汤姆在爆炸中受伤。,Tom was injured in the blast.
谁也不在那里。,Nobody was there.
您的東西在哪裡？,Where are your things?
你穿那件白色的衣服很好看。,That white dress looks good on you.
汤姆抛弃了他们。,Tom abandoned them.
國王統治了這個國家。,The king governed the country.
我在这里等了三十分钟。,I've been waiting here for thirty minutes.
Tom也许在梦游。,Maybe Tom was sleepwalking.
我們去打棒球吧。,Let's play baseball!
我完全地筋疲力盡了。,I'm completely exhausted.
谁都可以参加。,Anybody may participate.
我应该打扫我的房间。,I should clean my room.
玛丽更想把头发染成金色。,Mary prefers to dye her hair blonde.
參觀所有觀光勝地累壞了我。,Visiting all the tourist sights really wore me out.
你的姓氏怎么写？,How do you write your last name?
你住在這家旅館嗎？,Are you staying at this hotel?
誰寫了這些故事？,Who wrote these stories?
你怎么让汤姆告诉你的？,How did you get Tom to tell you that?
我怕我會遲到。,I was afraid I'd be late.
我记不起昨天查的那个词的意思了。,I can't remember the meaning of the word that I looked up yesterday.
湯姆能給我們買嗎？,Can Tom buy that for us?
你记事情的能力并不比我好多少。,You are no better at remembering things than I am.
這個家庭作業對我來說很困難。,This homework is difficult for me.
公园里有一大群人。,There was a large crowd in the park.
小心扒手。,Look out for pickpockets.
請告訴我。,Please tell me.
你能承认你错了是很伟大的。,It's very big of you to admit you're wrong.
我什麼人都沒看見。,I didn't see anybody.
你不该在这里吃饭。,You shouldn't eat here.
你被騙了。,You've been deceived.
附近有酒店吗？,Is there a hotel around here?
他昨天在公園裡散步。,He walked in the park yesterday.
我实在不擅长这个。,I'm really bad at this.
她让我等了半小时。,She kept me waiting for 30 minutes.
我被要求在这里等。,I was asked to wait here.
也許Tom年紀太大，不適合做這件事。,Perhaps Tom is too old to do this kind of thing.
他的建议完全没用。,His advice didn't help at all.
跑步對你的健康有益。,Running is good for your health.
你可能會見到他。,You might meet him.
我知道这是谁的车。,I know whose car this is.
大爆炸致死六人。,The huge explosion killed six people.
请画一条从A到B的线。,Draw a line from A to B.
你的孩子多大了？,How old are your children?
我不确定他什么时候来。,I do not know for certain when he will come.
我想跟你度過一整天。,I want to spend the whole day with you.
我自己搞定，修好了我的车。,I managed to repair my car by myself.
他的女兒已經成為了一個漂亮的女人。,His daughter has become a beautiful woman.
我申請成為協會會員。,I applied for membership in the association.
他想找本書來讀。,He wants a book to read.
一個美麗的女人坐在我前面一排。,A beautiful woman was seated one row in front of me.
一種語言是永遠不夠的。,One language is never enough.
我們必須取消我們去日本的旅行。,We must cancel our trip to Japan.
湯姆說瑪麗不累。,Tom says Mary wasn't tired.
我會給你任何你想要東西。,I'll give you anything that you want.
嘲笑別人是無禮的。,It is rude to laugh at others.
他给我讲述了他的一生。,He told me the story of his life.
当我打开门的时候，我发现他睡着了。,"When I opened the door, I found him asleep."
怎么办?,What should be done?
你有任何淡啤酒嗎？,Do you have any light beer?
適度運動對身體健康是必要的。,Moderate exercise is necessary for good health.
你正在找的書在這裡。,Here is the book you are looking for.
你去教堂嗎？,Do you go to church?
我們有特殊聯繫。,We have a special connection.
打網球很有趣。,Playing tennis is a lot of fun.
是什么原因？,What's causing it?
你最好照他們所說的做。,You'd better do what they say.
那是棵小树。,That's a small tree.
有些人反对汤姆的意见。,Some object to Tom's opinion.
我工作得太多了。,I work too much.
哪顶帽子是你的？,Which hat is yours?
真好。,That's really nice.
我不会让汤姆独自去做。,I'm not letting Tom do this by himself.
你每年捐多少钱？,How much money do you donate every year?
汤姆是法语母语者。,Tom is a native speaker of French.
你不是音乐家？,Aren't you a musician?
我們必須做甚麼？,What do we have to do?
多么荒唐的故事！,What a bizarre tale!
我做了該受罰的壞事。,I've done bad things that I should be punished for.
我也会想你的。,"I'll miss you, too."
她是一个著名的歌手。,She is a famous singer.
软件正在不断进化。,Software is constantly evolving.
周日我去做礼拜。,I go to church on Sundays.
我们的究极目标是树立世界和平。,Our ultimate goal is to establish world peace.
他非常喜欢科幻小说。,He's very fond of science fiction.
Tom喝果汁。,Tom drinks juice.
汤姆不记得他把钥匙放在哪里了。,Tom doesn't remember where he put his keys.
把那本詞典遞給我。,Bring me the dictionary.
我错了吗？,Was I wrong?
汤姆告诉你他昨天为什么不去学校了吗？,Did Tom tell you why he wasn't at school yesterday?
这个森林里猴子成群。,The forest is teeming with monkeys.
公事公辦。,It's business.
我爸爸明年春天就要退休了。,My father is retiring next spring.
我的手指冻僵了，以至于无法弹钢琴了。,My fingers are so numb with cold that I can't play the piano.
我们真的感激他们的努力。,We really appreciate their effort.
我们在一个工厂工作。,We work in a factory.
那个教授讲得太快了，没有一个人听得懂。,The professor spoke too fast for anyone to understand.
我上個月在波士頓。,I was in Boston last month.
你知道那是你的责任。,You know that that's your duty.
他们说了些什么？,What did they say?
我無法忍受這個痛苦。,I can't bear this pain.
请节约用电。,Please save electricity.
这不是我的妻子。,That's not my wife.
你到底怎麼回事啊？,What's the matter with you?
你認為如何?,What do you think about that?
她听到那个消息后惊呆了。,She was amazed to hear the news.
我曾希望在那裡遇見你。,I had hoped to meet you there.
湯姆爬上了墙。,Tom climbed over the wall.
我不屬於任何社團。,I don't belong to any club.
明天早上記得去寄這封信。,Remember to mail this letter tomorrow morning.
空調故障了。,The air conditioner doesn't work.
他去過倫敦三次。,He has been to London three times.
你週日需要去工作嗎？,Do you need to work on Sunday?
據說她愛他。,It's said that she loves him.
我媽媽和我完全不同。,My mom and I are completely different.
這件藍色毛衣很漂亮。,This blue sweater is very pretty.
这是一个除颤器。,This is a defibrillator.
没人会相信你。,Nobody will believe you.
那是人类第一次在月球上行走。,That was the first time that a man walked on the moon.
你想看房子吗？,Do you want to see the house?
